Flight Number,Source,Destination,Date,Departure Time,Arrival Time,Price
7,Hyderabad,Kolkata,2023-12-22,06:11:22,15:47:13,5634.18
812364,Hyderabad,Jaipur,2024-01-02,23:21:36,01:10:50,4906.05
567161,Hyderabad,Jaipur,2023-12-22,17:12:20,19:15:11,6108.17
795575444,Lucknow,Jaipur,2024-06-17,12:19:42,14:19:03,7991.43
83,Kolkata,Ahmedabad,2024-08-22,16:23:51,02:31:44,3955.41
983,Jaipur,Pune,2024-05-14,07:07:23,09:36:23,7554.62
357,Jaipur,Mumbai,2024-03-27,20:42:09,22:16:47,6954.5
4461585,Ahmedabad,Jaipur,2024-08-27,20:03:58,01:34:10,4876.2
380705494,Hyderabad,Delhi,2024-01-19,06:59:14,15:09:58,2193.02
3,Delhi,Lucknow,2024-07-12,07:29:37,16:06:29,3716.18
40881,Bengaluru,Lucknow,2023-11-12,03:07:28,11:12:57,7262.42
8744,Hyderabad,Lucknow,2024-05-31,18:09:38,21:38:30,6220.47
9173,Kolkata,Chennai,2024-01-14,02:31:43,11:11:47,5049.52
22590984,Chennai,Mumbai,2024-02-06,15:58:32,21:26:26,2045.41
42804550,Bengaluru,Mumbai,2023-09-26,17:16:34,03:52:56,6415.19
8859,Mumbai,Kolkata,2024-03-16,00:42:21,10:34:14,7430.52
0,Delhi,Kolkata,2023-10-09,06:45:48,12:51:19,3024.09
730,Mumbai,Jaipur,2023-12-13,05:39:05,11:56:16,9917.89
724,Hyderabad,Delhi,2024-04-25,22:20:52,02:14:53,8529.59
245480530,Chennai,Mumbai,2023-10-04,00:32:41,04:15:05,8332.82
654,Delhi,Bengaluru,2023-09-15,01:45:08,12:31:08,3474.44
13120,Jaipur,Ahmedabad,2024-07-30,16:10:02,20:33:31,8594.27
6975098,Jaipur,Ahmedabad,2024-02-27,07:52:37,18:16:39,3668.46
5736,Jaipur,Bengaluru,2024-07-14,16:23:45,20:18:08,9719.12
60,Chennai,Lucknow,2024-08-09,23:47:30,07:10:47,9059.41
6701998,Hyderabad,Ahmedabad,2024-07-06,23:45:55,09:42:19,2838.3
600,Lucknow,Delhi,2024-03-07,19:52:16,01:07:54,3633.62
8,Hyderabad,Kolkata,2023-11-17,06:50:46,10:47:03,9197.36
1308,Ahmedabad,Chennai,2024-06-06,23:50:24,05:00:05,4821.43
1915,Mumbai,Delhi,2024-03-01,00:50:31,03:04:57,9718.89
80688557,Pune,Bengaluru,2024-03-16,15:04:32,16:27:52,3654.79
54951432,Bengaluru,Pune,2023-12-23,10:18:10,12:20:10,4762.58
882875149,Hyderabad,Ahmedabad,2024-06-14,14:32:56,21:56:03,2178.72
45,Kolkata,Ahmedabad,2024-01-26,08:12:37,14:08:34,6338.86
862191008,Kolkata,Hyderabad,2024-05-15,00:02:35,04:49:31,2603.6
8224,Bengaluru,Hyderabad,2023-10-21,16:33:57,22:25:58,2163.31
6,Chennai,Delhi,2024-06-26,22:34:14,06:01:16,5354.94
4369,Hyderabad,Chennai,2024-05-03,21:29:32,03:00:32,7494.76
581,Chennai,Kolkata,2023-09-16,20:11:58,23:08:04,3766.58
763275,Lucknow,Pune,2023-09-06,01:13:20,05:24:17,2075.39
64,Chennai,Delhi,2023-09-17,07:26:50,12:46:32,2516.77
93,Chennai,Hyderabad,2023-11-28,13:15:45,15:25:56,4617.57
647,Delhi,Jaipur,2024-02-21,06:48:20,17:04:37,3125.27
58961,Kolkata,Mumbai,2023-11-21,13:31:02,23:03:46,3549.92
26,Jaipur,Mumbai,2024-07-20,23:21:01,02:19:55,6143.89
886841,Pune,Kolkata,2023-09-29,17:24:05,22:27:45,3240.15
9356414,Bengaluru,Mumbai,2024-08-06,16:49:25,01:49:08,9659.96
372,Chennai,Hyderabad,2024-02-04,01:33:28,08:23:56,3694.08
7365,Kolkata,Bengaluru,2024-05-13,17:37:57,23:23:05,6550.97
700186,Ahmedabad,Kolkata,2024-08-08,15:40:26,00:16:32,5765.93
58,Jaipur,Delhi,2023-09-16,12:42:17,17:22:02,4638.71
859634,Bengaluru,Delhi,2023-09-30,05:08:43,07:28:53,6357.66
12269,Bengaluru,Mumbai,2024-02-12,11:21:42,12:30:24,2776.86
4334910,Hyderabad,Lucknow,2023-11-01,14:23:16,18:04:38,9336.54
