HotelName,City,Rating,PhoneNumber,Tariff
Thompson-Hernandez,Chennai,4.1,651.672.1841x5371,5940.9
"King, Smith and Terry",Hyderabad,4.4,428-229-7812x0557,13148.19
Perez PLC,Ahmedabad,3.8,456.986.5567x169,14606.53
"Brown, Obrien and Jackson",Hyderabad,3.7,665.536.4899,11607.92
Gonzalez-Daniels,Kolkata,3.9,(748)310-0374x06730,9641.23
"Turner, Cruz and Rivers",Hyderabad,3.2,(838)561-8195,14806.32
Dawson LLC,Kolkata,4.2,001-290-958-2768,8881.19
Wilson LLC,Pune,3.5,2302469624,13743.43
"Caldwell, Hall and Harvey",Lucknow,4.8,(594)666-9039,10201.29
"Norris, Myers and Ali",Pune,4.6,+1-718-998-5271x27564,13892.77
"Walker, Myers and Smith",Lucknow,4.8,+1-681-227-7551x0369,3755.73
Moody-White,Jaipur,3.5,823-535-9189x773,11516.65
Russell and Sons,Ahmedabad,3.4,763-327-8427,7246.68
Thomas PLC,Chennai,2.9,6872042785,14864.96
Rodriguez PLC,Pune,4.4,001-961-803-1084,5297.74
"Cortez, Shepherd and Johnson",Kolkata,3.0,+1-603-740-9046x202,9514.31
Turner Ltd,Bangalore,4.6,+1-642-606-1990,12025.96
"Deleon, Cooley and Ray",Chennai,3.7,(476)396-4378x7725,11297.93
Nguyen-Brown,Bangalore,2.6,001-618-838-2546x1602,8988.96
Shah Ltd,Ahmedabad,4.6,846.556.8668x1554,2608.7
Nunez Ltd,Mumbai,4.5,891-237-2632,11472.57
"Brown, Farrell and Lynch",Ahmedabad,2.7,876.926.9955,4814.82
"Perry, Solis and Davidson",Bangalore,3.5,532.687.3877x732,5818.87
Watts Group,Bangalore,3.4,330-921-2708,7590.2
Turner-Obrien,Mumbai,4.5,(560)635-3605x8766,1392.36
Ibarra-Flynn,Mumbai,2.6,849-851-5870x526,8291.06
"Green, Sims and Williams",Delhi,3.0,588-354-9070,6288.83
Ellis-Greene,Chennai,3.8,399.622.8768,7860.13
"Johnson, Jimenez and Saunders",Mumbai,4.9,7205686177,10148.68
"Flores, Brown and Wilson",Jaipur,4.9,+1-531-967-6727x30946,9558.28
Morales-Rivera,Mumbai,5.0,(485)854-3274x188,11830.29
Austin PLC,Mumbai,3.9,(949)605-5393x069,10443.0
Diaz Ltd,Pune,3.5,335.929.7300x273,2739.56
Lee-Jennings,Lucknow,4.5,(959)686-6071x548,4062.43
Pittman-Lewis,Hyderabad,4.9,+1-592-480-0101,3730.42
Sandoval PLC,Pune,3.7,(804)478-2913x1845,3253.57
Becker LLC,Hyderabad,2.8,422.467.4311,11895.16
White-Brock,Pune,4.6,374-851-1699x46600,11698.51
Adams-Rollins,Mumbai,4.2,+1-529-304-6405x3337,11943.62
Armstrong LLC,Mumbai,4.7,225.712.2711x766,8890.43
"Kim, Martin and Jones",Chennai,2.5,934-452-6339x16934,13726.47
Oliver-Holland,Ahmedabad,3.0,(483)587-8394x0266,14115.07
"Brooks, Franco and Adams",Bangalore,4.0,479.395.9988x952,14335.83
Grant-Dixon,Chennai,4.0,7679792227,2316.75
Leonard and Sons,Lucknow,3.4,626-242-9494x6659,8855.19
Robinson Inc,Bangalore,4.9,+1-983-465-5890,9569.04
Thomas-Fitzpatrick,Kolkata,4.3,+1-363-623-1052x258,3813.77
Harper-Munoz,Chennai,2.5,428-702-2373x0083,5705.1
Liu LLC,Delhi,3.9,554.391.2334x4319,12572.1
Watson-Richardson,Pune,3.8,(476)975-6239,2443.4
Edwards Group,Lucknow,2.9,(799)944-0277,1603.25
"Fuentes, Greene and Francis",Bangalore,3.9,785-745-8063x064,5698.47
Armstrong-Evans,Ahmedabad,4.6,7048786372,2589.75
Murray PLC,Delhi,3.1,6453449296,3446.29
Walton-Adams,Hyderabad,4.7,001-577-253-3903x912,6044.11
"Simpson, Harper and Vasquez",Chennai,3.0,213-413-9636x01433,3448.77
Snyder-Bowman,Mumbai,2.7,641.900.2431,7541.26
"Walker, Walker and Dillon",Chennai,3.7,(385)596-1010x6227,10970.56
"Alvarado, Villarreal and Smith",Jaipur,3.6,210-701-2150x266,10879.75
Young LLC,Kolkata,3.2,5124450530,4287.57
Mcneil PLC,Bangalore,4.6,+1-383-268-0602,10300.49
"Perez, Zimmerman and Herrera",Hyderabad,3.9,+1-785-891-4023x5658,5560.35
Bell-Willis,Pune,4.8,001-606-310-2568,8752.66
Farley-Davis,Bangalore,3.9,001-852-582-4263,6139.42
Wilson-Jones,Pune,3.9,236.382.2950x0525,11295.32
Mason-Reid,Mumbai,3.9,+1-554-930-6095x08630,2407.12
"Robinson, Gonzalez and Carr",Chennai,2.7,(526)244-3668x14068,13174.68
"Wallace, Cochran and Jones",Mumbai,3.8,001-473-928-3979,5753.83
Fisher PLC,Bangalore,3.9,+1-617-430-0816x596,8679.45
Williams-Wall,Delhi,3.1,208-303-4343x895,1175.56
"Pruitt, Avila and Reyes",Bangalore,4.5,+1-919-458-9679x951,2938.05
Schneider Ltd,Mumbai,3.0,493-503-9580x562,12830.42
"Hunt, Grimes and Gardner",Delhi,3.3,(516)715-7230x514,13045.16
"Dickson, Brewer and Campbell",Delhi,2.5,(844)676-5423,4360.65
Hill-Maldonado,Chennai,4.8,001-268-631-4026x4849,2998.02
"Campos, Miller and Roth",Jaipur,4.3,789.819.3365x339,1515.66
"Hahn, Vasquez and White",Pune,2.6,9447529810,12655.33
"Richards, Harris and Scott",Delhi,3.5,839-399-7256,9276.6
"Warner, Miller and Rodriguez",Pune,2.9,608-809-6960x47928,14919.89
"Wilson, Lane and Richards",Chennai,4.6,001-265-299-2604x52369,10622.46
"Parker, Townsend and Waller",Ahmedabad,2.9,913-216-7319x44326,5848.18
Adkins PLC,Bangalore,3.6,+1-551-781-0177,8974.06
"Gates, Martin and Sanders",Jaipur,3.4,9073994971,12792.28
"Hubbard, Jackson and Costa",Jaipur,2.7,316-692-2490x97194,10569.92
Matthews-Mcdowell,Hyderabad,4.1,001-571-642-4491,1134.09
Blair-Powell,Chennai,3.3,(746)555-8358x612,2512.51
Calderon LLC,Hyderabad,4.9,+1-464-206-1709x715,3752.29
Brown and Sons,Chennai,4.7,001-417-807-8732x038,9350.12
"Rollins, Rodriguez and Sims",Pune,3.3,(521)799-8473x084,4892.15
"Ramos, Rodriguez and Howell",Delhi,3.8,387-973-2985,10958.19
Garcia-Brown,Mumbai,4.2,906-883-4869x47771,9473.91
"Martin, Maldonado and Porter",Delhi,2.6,3926169058,5432.06
"Simpson, Irwin and Gutierrez",Jaipur,2.5,817.705.4850x3416,6567.23
Turner and Sons,Kolkata,4.3,(482)815-9617,2735.52
Rice Ltd,Lucknow,3.9,001-895-300-0804x8537,14398.43
Lucas and Sons,Lucknow,3.5,001-891-230-2963,12585.6
Johnson-Martinez,Chennai,4.8,(550)985-9846,2024.95
"Anderson, Russell and Oliver",Delhi,4.4,+1-809-837-7161x045,12850.34
"Green, Melton and Butler",Mumbai,3.5,+1-794-245-4719x335,7091.91
Meza PLC,Bangalore,4.8,001-674-923-4900,14330.93
